actor1,actor2,relation
APCLS,FARDC,1
APCLS,FDC,1
APCLS,FDLR FOCA,1
APCLS,FODP,1
APCLS,MAC,1
APCLS,MPA,1
APCLS,Nyatura,1
APCLS,RUC,1
APCLS,CNDP,2
APCLS,FDC,2
APCLS,M23,2
FDC,FARDC,1
FDC,M23,1
FDC,Raia Mutomboki,1
FDC,Sheka NDC,1
FDC,APCLS,2
FDC,FARDC,2
FDC,FDLR FOCA,2
FDC,MAC,2
FDIPC,FARDC,1
FDIPC,M23,2
FDLR Mandevu,M23,1
FDLR Mandevu,FARDC,2
FDLR FOCA,APCLS,1
FDLR FOCA,FARDC,1
FDLR FOCA,FDN,1
FDLR FOCA,FODP,1
FDLR FOCA,MAC,1
FDLR FOCA,MPA,1
FDLR FOCA,Nyatura,1
FDLR FOCA,RUC,1
FDLR FOCA,FDLR RUD,1
FDLR FOCA,FDLR SOLI,1
FDLR FOCA,MAC,1
FDLR FOCA,FARDC,2
FDLR FOCA,FDC,2
FDLR FOCA,M23,2
FDLR FOCA,Raia Mutomboki,2
FDLR FOCA,RPF,2
FDLR FOCA,Sheka NDC,2
FDLR RUD,ADF NALU,1
FDLR RUD,FDLR FOCA,1
FDLR RUD,FDLR SOKI,1
FDLR RUD,UPCP FPC,1
FDLR RUD,M23,1
FDLR SOKI,FDLR FOCA,1
FDLR SOKI,FDLR RUD,1
FDLR SOKI,M23,2
FDN,FDLR FOCA,1
FODP,APCLS,1
FODP,FARDC,1
FODP,FDLR FOCA,1
FODP,M23,1
FODP,MAC,1
FODP,MPA,1
FODP,M23,2
FODP,CNDP,2
FPD-Shetani,FARDC,1
FPD-Shetani,M23,2
Kahasha,M23,1
Kahasha,FARDC,2
LDF,M23,1
LDF,FARDC,2
M23,COGAI,1
M23,FDC,1
M23,FDLR Mandevu,1
M23,FDLR RUD,1
M23,FPLC,1
M23,FRPI,1
M23,Kahasha,1
M23,LDF Nyatura,1
M23,Noheri,1
M23,Raia Mutomboki,1
M23,Sheka NDC,1
M23,Mai-Mai Simba,1
M23,UPCP FPC,1
M23,URDC,1
M23,APCLS,2
M23,FARDC,2
M23,FDIPC,2
M23,FDLR FOCA,2
M23,FDLR SOKI,2
M23,FODP,2
M23,FPD,2
M23,MAC,2
M23,MPA,2
M23,Nyatura,2
M23,RUC,2
MAC,APCLS,1
MAC,FARDC,1
MAC,FDLR FOCA,1
MAC,FODP,1
MAC,MPA,1
MAC,Nyatura,1
MAC,RUC,1
MAC,FARDC,2
MAC,FDC,2
MAC,M23,2
MPA,APCLS,1
MPA,FARDC,1
MPA,FDLR FOCA,1
MPA,FODP,1
MPA,MAC,1
MPA,Nyatura,1
MPA,RUC,1
MPA,M23,2
MPA,CNDP,2
NDC,FDC,1
NDC,M23,1
NDC,Raia Mutomboki,1
NDC,APCLS,2
NDC,FARDC,2
NDC,FDLR FOCA,2
Nyatura,APCLS,1
Nyatura,FARDC,1
Nyatura,FDLR FOCA,1
Nyatura,MAC,1
Nyatura,MPA,1
Nyatura,CNDP,2
Nyatura,M23,2
Nyatura,Raia Mutomboki,2
Nyatura Noheri,M23,1
Nyatura Noheri,FARDC,2
Raia Mutomboki,FDC,1
Raia Mutomboki,M23,1
Raia Mutomboki,NDC,1
Raia Mutomboki,FARDC,2
Raia Mutomboki,FDLR FOCA,2
Raia Mutomboki,Nyatura,2
RUC,APCLS,1
RUC,FARDC,1
RUC,FDLR FOCA,1
RUC,MAC,1
RUC,MPA,1
RUC,M23,2
RUC,CNDP,2
UPCP FPC,FDLR RUD,1
UPCP FPC,FEOLC,1
UPCP FPC,M23,1
UPCP FPC,URDC,1
UPCP FPC,FARDC,2
URDC,UPCP FPC,1
URDC,FARDC,2
FARDC,CNDP,1
TPD,RCD,4
AFDL,FAC,5
FAZ,FAC,5
FAC,RCD,6
AFDL,RCD,5
MM KIFUAFUA,MM JANVIER,6
MM JANVIER,FAC,4
LES JEUNES CAPABLES,MM KIFUAFUA,7
FAC,FDLR,4
TPD,FARDC,7
RCD,CNDP,6
FAC,FARDC,5
FDLR,FARDC,4
RPA,TPD,4
RPA,AFDL,4
RPA,RCD,4
MM JANVIER,FAC,4
CNDP,FARDC,7
FARDC,M23,6
CNDP,M23,6
MM JANVIER,PARECO,7
PARECO,FARDC,4
PARECO,Nyatura,6
FARDC,Nyatura,6
RCD,FARDC,7
PARECO,APCLS,6
FARDC,PNC,4
CNDP,PNC,7
Nyatura,FDLR,4
APCLS,FDLR,8
RCD,Nyatura,2
RCD,FDLR,2
CNDP,PARECO,2
CNDP,Nyatura,2
CNDP,MM JANVIER,2
CNDP,APCLS,2
M23,Nyatura,2
M23,FARDC,2
M23,FDLR,2
M23,APCLS,2
PARECO,CNDP,2
PARECO,FARDC,2
MAGRIVI,AFDL,2
Guides,Guides-MAC,5
Guides,FDC-Guides,5
FDC-Guides,Guides-MAC,5
FDC-Guides,Guides-MAC,6
Nyatura-FDIPC,FARDC,5
FDLR Mandevu,M23,5
FDLR,FDLR Mandevu,5
FDLR FOCA,CNRD,5
ALiR,FDLR FOCA,5
FDLR FOCA,RUD-Urunana,6
FDLR FOCA,FDLR SOKI,6
FDLR FOCA,FDLR Mandevu,6
RUD-Urunana,FPP(H),5
FDLR,RUD-Urunana,5
FDLR,FDLR SOKI,5
FDLR SOKI,Kasongo,5
Nyatura-FODP Vutura,Muchoma,5
Nyatura-FODP Vutura,Nyatura-Domi,5
Nyatura-FODP Vutura,Nyatura Ngwiti,5
PARECO,Nyatura-FODP Vutura,5
FPD-Shetani,Mai-Mai Charles,5
Coalition Raia Mukombozi,RM Mabala,5
Coalition Raia Mukombozi,RM Maheshe,5
Coalition Raia Mukombozi,RM Makombo,5
Coalition Raia Mukombozi,RM Donat Ngandu,5
Mudundu 40,Coalition Raia Mukombozi,5
Raia Mutomboki,Coalition Raia Mukombozi,5
MM Padiri,Coalition Raia Mukombozi,5
M23,Makenga group,5
CNDP,M23,5
MM Padiri,MM KIFUAFUA,5
Katuko,MM KIFUAFUA,5
MM KIFUAFUA,Bosco group,6
Guides,Guides-MAC,5
Guides-MAC,FDC-Guides,5
Guides-MAC,Limenzi,6
Nyatura-MPA,FARDC,5
Nyatura-MPA,FPP(H),5
PARECO,Nyatura-MPA,5
MM  Kasikila,NDC,5
NDC,NDC-Renove,5
PARECO,Nyatura Delta,5
Nyatura Delta,NDC-Renove,6
Nyatura Noheri,FDDH,5
Nyatura Noheri,APRDC CMC,5
PARECO,Nyatura Noheri,5
RCD K ML,URDC,5
URDC,FARDC,5
FAC,FARDC,5
FAZ,FARDC,5
CNDP,FARDC,5
CNDP,M23,5
RCD,CNDP,5